2025-12-19 00:49:58.657 [main] WARN  [org.springdoc.core.events.SpringDocAppInitializer] - SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2025-12-19 00:49:58.657 [main] WARN  [org.springdoc.core.events.SpringDocAppInitializer] - SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2025-12-19 00:49:58.838 [scheduling-1] WARN  [cloud.catfish.data.kafka.KafkaConsumerService] - No IP tag rules found in database.
2025-12-19 00:50:44.701 [main] WARN  [cloud.catfish.data.kafka.KafkaConsumerService] - No IP tag rules found in database.
2025-12-19 00:50:44.997 [main] WARN  [i.n.resolver.dns.DnsServerAddressStreamProviders] - Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos'
2025-12-19 00:50:45.185 [main] WARN  [org.springdoc.core.events.SpringDocAppInitializer] - SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2025-12-19 00:50:45.185 [main] WARN  [org.springdoc.core.events.SpringDocAppInitializer] - SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2025-12-19 00:50:45.282 [scheduling-1] WARN  [cloud.catfish.data.kafka.KafkaConsumerService] - No IP tag rules found in database.
2025-12-19 00:55:37.949 [main] WARN  [cloud.catfish.data.kafka.KafkaConsumerService] - No IP tag rules found in database.
2025-12-19 00:55:38.299 [main] WARN  [i.n.resolver.dns.DnsServerAddressStreamProviders] - Can not find io.netty.resolver.dns.macos.MacOSDnsServerAddressStreamProvider in the classpath, fallback to system defaults. This may result in incorrect DNS resolutions on MacOS. Check whether you have a dependency on 'io.netty:netty-resolver-dns-native-macos'
2025-12-19 00:55:38.504 [main] WARN  [org.springdoc.core.events.SpringDocAppInitializer] - SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2025-12-19 00:55:38.504 [main] WARN  [org.springdoc.core.events.SpringDocAppInitializer] - SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2025-12-19 00:55:38.674 [scheduling-1] WARN  [cloud.catfish.data.kafka.KafkaConsumerService] - No IP tag rules found in database.
